Nombre,Categoría,Declaración de seguridad,Clasificación 1,Clasificación 2,Clasificación 3,NombreNormalizado
metilfenobarbital,D,"El uso de primidona, fenobarbitona o metilfenobarbitona durante el embarazo se ha asociado con defectos craneofaciales menores, hipoplasia ungueal y discapacidad del desarrollo. Su uso durante el embarazo, solo o en combinación con otros anticonvulsivos, puede causar defectos de coagulación en el recién nacido que pueden prevenirse mediante la administración profiláctica de vitamina K a la madre antes del parto. El riesgo de tener un hijo anormal como resultado de la medicación antiepiléptica es ampliamente superado por los peligros para la madre y el feto de la epilepsia no controlada. Se recomienda que: • las mujeres que toman medicamentos antiepilépticos (AED) reciban asesoramiento previo al embarazo con respecto al riesgo de anomalías fetales; • los AED deben continuarse durante el embarazo y la monoterapia debe usarse si es posible a la dosis efectiva más baja, ya que el riesgo de anomalía es mayor en mujeres que toman medicación combinada; • la suplementación con ácido fólico (5 mg) debe comenzar cuatro semanas antes y continuar durante doce semanas después de la concepción; • Se debe ofrecer diagnóstico prenatal especializado, incluida una ecografía detallada a mediados del trimestre.",Sistema nervioso central,Anticonvulsivos/antiepilépticos,,metilfenobarbital
metilfenobarbital (metilfenobarbital),D,"El uso de primidona, fenobarbitona o metilfenobarbitona durante el embarazo se ha asociado con defectos craneofaciales menores, hipoplasia ungueal y discapacidad del desarrollo. Su uso durante el embarazo, solo o en combinación con otros anticonvulsivos, puede causar defectos de coagulación en el recién nacido que pueden prevenirse mediante la administración profiláctica de vitamina K a la madre antes del parto. El riesgo de tener un hijo anormal como resultado de la medicación antiepiléptica es ampliamente superado por los peligros para la madre y el feto de la epilepsia no controlada. Se recomienda que: • las mujeres que toman medicamentos antiepilépticos (AED) reciban asesoramiento previo al embarazo con respecto al riesgo de anomalías fetales; • los AED deben continuarse durante el embarazo y la monoterapia debe usarse si es posible a la dosis efectiva más baja, ya que el riesgo de anomalía es mayor en mujeres que toman medicación combinada; • la suplementación con ácido fólico (5 mg) debe comenzar cuatro semanas antes y continuar durante doce semanas después de la concepción; • Se debe ofrecer diagnóstico prenatal especializado, incluida una ecografía detallada a mediados del trimestre.",Sistema nervioso central,Anticonvulsivos/antiepilépticos,,metilfenobarbital (metilfenobarbital)
metilprednisolona,A,,Sistema endocrino,Corticosteroides,Sistémico,metilprednisolona
aceponato de metilprednisolona,do,,Sistema endocrino,Corticosteroides,Actual,aceponato de metilprednisolona
metiltestosterona,D,Los esteroides anabólicos y otras sustancias con efectos androgénicos pueden tener un efecto virilizante en el feto femenino y deben evitarse durante el embarazo.,Sistema endocrino,Andrógenos y esteroides anabólicos,,metiltestosterona
metisergida,do,"Las dosis orales estándar para la migraña durante la primera mitad del embarazo no parecen representar riesgos para el feto. La ergotamina induce la contracción uterina y, por lo tanto, puede causar parto prematuro o hipertonía. Dosis mayores o un uso más frecuente pueden poner en riesgo al feto debido a la posibilidad de obstaculizar el riego sanguíneo fetal.",Sistema cardiovascular,Preparaciones antimigrañosas,,metisergida
metoclopramida,A,,Sistema nervioso central,"Antieméticos, antinauseosos",,metoclopramida
metolazona,do,"Las tiazidas, los diuréticos relacionados y los diuréticos de asa pueden causar alteraciones electrolíticas en el feto. Se ha reportado trombocitopenia neonatal con el uso de tiazidas y diuréticos relacionados. Los diuréticos de asa, como la furosemida y la bumetanida, probablemente también estén asociados con este riesgo. Durante la última etapa del embarazo, este tipo de productos solo debe administrarse bajo indicación médica y en la dosis mínima eficaz.",Sistema cardiovascular,Diuréticos,"Tiazidas, diuréticos relacionados y diuréticos de asa",metolazona
metoprolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Sistema cardiovascular,Agentes bloqueantes beta-adrenérgicos,,metoprolol
metronidazol,B2,,Antimicrobianos,Antibióticos,,metronidazol
metirapona,B3,,Agentes de diagnóstico,Prueba de respuesta pituitaria-suprarrenal,,metirapona
mexiletina,B1,,Sistema cardiovascular,Antiarrítmicos,,mexiletina
mezlocilina,B1,,Antimicrobianos,Antibióticos,penicilinas,mezlocilina
mianserina,B2,,Sistema nervioso central,antidepresivos,antidepresivos tetracíclicos,mianserina
micafungina,B3,,Antimicrobianos,Antibióticos,,micafungina
miconazol,A,,Medicamentos utilizados en Dermatología,"Antifúngicos tópicos, antisépticos (ver también agentes antifúngicos)",,miconazol
miconazol,A,,Sistema genitourinario,Medicación vaginal tópica,,miconazol
midazolam,do,"Las benzodiazepinas pueden causar hipotonía, depresión respiratoria e hipotermia en el recién nacido si se administran en dosis altas durante el parto. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de esta clase de fármacos.",Sistema nervioso central,Benzodiazepinas,,midazolam
clorhidrato de midodrina,do,Este fármaco ha demostrado causar daño embriofetal y letalidad en animales.,Sistema cardiovascular,,,clorhidrato de midodrina
midostaurina,D, Este medicamento es embriotóxico y embrioletal en animales preñados.,Agentes antineoplásicos,Inhibidores de la tirosina quinasa,,midostaurina
clorhidrato de migalastat,B3,,Sistema alimentario,,,clorhidrato de migalastat
miglitol,B3,,Sistema endocrino,agentes hipoglucemiantes,,miglitol
miglustat,D,Se podría esperar que este medicamento atraviese la placenta y se ha demostrado que es embriotóxico en ratas y conejos.,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,,miglustat
milnaciprán,B3,,Sistema nervioso central,antidepresivos,,milnacipran
milrinona,B3,,Sistema cardiovascular,Agentes inotrópicos cardíacos,,milrinona
minociclina,D,"Las tetraciclinas son seguras para su uso durante las primeras 18 semanas de embarazo (16 semanas después de la concepción), después de lo cual provocan decoloración de los dientes del bebé.",Antimicrobianos,Antibióticos,Tetraciclinas,minociclina
minoxidil,do,Este medicamento se ha asociado con hipertricosis en el recién nacido después de la exposición en el útero.,Sistema cardiovascular,Antihipertensivos,,minoxidil
mirabegrón,B3,,Sistema genitourinario,Trastornos de la función de la vejiga,,mirabegron
mirikizumab,B1,,Alergia y sistema inmunológico,Inmunomodificadores,,mirikizumab
mirtazapina,B3,,Sistema nervioso central,antidepresivos,,mirtazapina
misoprostol,incógnita,Este medicamento puede producir graves defectos congénitos. También puede causar un aborto espontáneo que podría derivar en un sangrado potencialmente peligroso.,Sistema alimentario,"Hiperacidez, reflujo, úlceras",,misoprostol
mitomicina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes citotóxicos antibióticos,,mitomicina
mitozantrona,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes citotóxicos antibióticos,,mitozantrona
mivacurio,B2,,Medicamentos utilizados en anestesia,Agentes bloqueadores neuromusculares,,mivacurio
succinato de mobocertinib,D,"Basándose en su mecanismo de acción y en datos de estudios en animales (muerte embriofetal y disminución del peso fetal en ratas preñadas tratadas durante el periodo de organogénesis), mobocertinib puede causar daño fetal cuando se administra durante el embarazo.",Agentes antineoplásicos,,,succinato de mobocertinib
moclobemida,B3,,Sistema nervioso central,antidepresivos,,moclobemida
modafinilo,D,Este fármaco es embriotóxico y fetotóxico al administrarse a ratas y conejas preñadas. También redujo la viabilidad de las crías al administrarse a ratas preñadas.,Sistema nervioso central,estimulantes del sistema nervioso central,,modafinilo
mogamulizumab,do,"No existen datos sobre su uso en mujeres embarazadas. En monas cinomolgas preñadas, mogamulizumab no causó malformaciones, mortalidad embriofetal ni retraso del crecimiento. Sin embargo, se demostró que mogamulizumab atraviesa la barrera placentaria, lo que produjo actividad farmacológica en los fetos, evidente en una disminución de los linfocitos que expresan CCR4. No se recomienda el uso de mogamulizumab durante el embarazo a menos que el beneficio potencial para la madre supere el riesgo potencial para el feto.",Agentes antineoplásicos,anticuerpos monoclonales,,mogamulizumab
molgramostim,B3,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,,molgramostim
molnupiravir,D,"Según datos obtenidos en animales, el molnupiravir puede causar daño fetal cuando se administra a mujeres embarazadas.",Antimicrobianos,agentes antivirales,,molnupiravir
 momelotinib,D,"El momelotinib está contraindicado durante el embarazo. Se observaron malformaciones, letalidad embriofetal y otros efectos adversos con momelotinib en animales a niveles de exposición clínicamente relevantes.",Agentes antineoplásicos,Inhibidores de la tirosina quinasa,, momelotinib
mometasona,B3,,Sistema endocrino,Corticosteroides,Actual,mometasona
montelukast,B1,,Sistema respiratorio,,,montelukast
moroctocog alfa (factor VIII - rch),B2,,Sistema cardiovascular,Agentes hemostáticos,,moroctocog alfa (factor VIII - rch)
morfina,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),analgésicos opioides,morfina
moxifloxacino,B3,,Antimicrobianos,Antibióticos,Quinolonas,moxifloxacino
moxonidina,B3,,Sistema cardiovascular,Antihipertensivos,,moxonidina
"vacuna antimeningocócica multicomponente del grupo B (recombinante, adsorbida)",B1,,Vacunas,Vacunas de subunidades,Vacunas conjugadas de polisacáridos,"vacuna antimeningococica multicomponente del grupo B (recombinante, adsorbida)"
mupirocina,B1,,Antimicrobianos,Antibióticos,,mupirocina
mostina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes alquilantes,,mostina
micofenolato de mofetilo,D,"Inhibe la síntesis de ácidos nucleicos y puede causar malformaciones fetales o la muerte. Se han reportado malformaciones congénitas, incluyendo malformaciones del oído (es decir, oído externo o medio anormalmente formado o ausente), en hijos de pacientes expuestas a micofenolato de mofetilo en combinación con otros inmunosupresores durante el embarazo.",Alergia y sistema inmunológico,Inmunomodificadores,,micofenolato de mofetilo
ácido micofenólico,D,"Inhibe la síntesis de ácidos nucleicos y puede causar malformaciones fetales o la muerte. Se han reportado malformaciones congénitas, incluyendo malformaciones del oído (es decir, oído externo o medio anormalmente formado o ausente), en hijos de pacientes expuestas a micofenolato de mofetilo en combinación con otros inmunosupresores durante el embarazo.",Alergia y sistema inmunológico,Inmunomodificadores,,acido micofenolico
nabiximoles,B2,,Sistema nervioso central,,,nabiximoles
nabumetona,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),,nabumetona
nadroparina,do,Todos los anticoagulantes y agentes trombolíticos pueden producir hemorragia placentaria y posterior prematuridad y pérdida fetal.,Sistema cardiovascular,Anticoagulantes y agentes trombolíticos,,nadroparina
nafarelina,D, Existe un riesgo teórico de aborto o anomalía fetal si se utilizan agonistas de GnRH durante el embarazo.,Sistema endocrino,hormonas pituitarias,,nafarelina
ácido nalidíxico,A,,Antimicrobianos,Antibióticos,,acido nalidixico
naloxona,B1,," Agentes desintoxicantes, antídotos",,,naloxona
naltrexona,B3,,Agentes utilizados en estados de dependencia,,,naltrexona
nandrolona,D,Los esteroides anabólicos y otras sustancias con efectos androgénicos pueden tener un efecto virilizante en el feto femenino y deben evitarse durante el embarazo.,Sistema endocrino,Andrógenos y esteroides anabólicos,,nandrolona
naproxeno,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),,naproxeno
naratriptán,B3,,Sistema cardiovascular,Preparaciones antimigrañosas,,naratriptan
natalizumab,do,,Alergia y sistema inmunológico,Inmunomodificadores,,natalizumab
nateglinida,do,Las sulfonilureas pueden ingresar a la circulación fetal y causar hipoglucemia neonatal.,Sistema endocrino,agentes hipoglucemiantes,,nateglinida
nebivolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Sistema cardiovascular,Agentes bloqueantes beta-adrenérgicos,,nebivolol
nedocromil,B1,,Sistema respiratorio,Agentes inhalatorios,Aerosoles e inhalaciones preventivas,nedocromil
nefazodona,B3,,Sistema nervioso central,antidepresivos,,nefazodona
nelarabina,D, Los datos en animales indican que la exposición durante el embarazo probablemente provocará malformaciones en el feto.,Agentes antineoplásicos,Antimetabolitos,,nelarabina
nelfinavir,B2,,Antimicrobianos,agentes antivirales,,nelfinavir
neomicina,D,"Existe evidencia de una captación selectiva de aminoglucósidos por el riñón fetal, lo que resulta en daño (probablemente reversible) a las nefronas inmaduras. También se ha reportado daño al octavo par craneal tras la exposición intrauterina a algunos aminoglucósidos. Debido a su similitud química, todos los aminoglucósidos deben considerarse potencialmente nefrotóxicos y ototóxicos para el feto. Cabe destacar que las concentraciones sanguíneas terapéuticas en la madre no implican seguridad para el feto.",Antimicrobianos,Antibióticos,Aminoglucósidos,neomicina
neostigmina,B2,,Medicamentos utilizados en la miastenia grave,,,neostigmina
nepafenaco,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),,nepafenaco
neratinib,D,Estudios en animales han demostrado letalidad embriofetal y anomalías morfológicas fetales.,Agentes antineoplásicos,,,neratinib
maleato de neratinib,D,"Estudios en animales han demostrado letalidad embriofetal y anomalías fetales. Se desconoce el riesgo potencial para humanos. No se recomienda el uso de neratinib durante el embarazo. Si se usa neratinib durante el embarazo o si la paciente queda embarazada mientras lo toma, se le debe informar del posible riesgo para el feto.",Agentes antineoplásicos,,,maleato de neratinib
netilmicina,D,"Existe evidencia de una captación selectiva de aminoglucósidos por el riñón fetal, lo que resulta en daño (probablemente reversible) a las nefronas inmaduras. También se ha reportado daño al octavo par craneal tras la exposición intrauterina a algunos aminoglucósidos. Debido a su similitud química, todos los aminoglucósidos deben considerarse potencialmente nefrotóxicos y ototóxicos para el feto. Cabe destacar que las concentraciones sanguíneas terapéuticas en la madre no implican seguridad para el feto.",Antimicrobianos,Antibióticos,Aminoglucósidos,netilmicina
netupitant / palonosetrón,D,"En los animales se observaron hallazgos de peso fetal reducido y anomalías fetales en extremidades, patas y costillas. También se observaron paladar hendido y anomalías oculares.",Sistema nervioso central,"Antieméticos, antinauseosos",,netupitant / palonosetron
nevirapina,B3,,Antimicrobianos,agentes antivirales,,nevirapina
nicardipina,do, Los bloqueadores de los canales de calcio tienen el potencial de producir hipoxia fetal asociada con hipotensión materna.,Sistema cardiovascular,Antihipertensivos,bloqueadores de los canales de calcio,nicardipina
nicorandil,B3,,Sistema cardiovascular,Agentes antianginosos,,nicorandil
nicotina,D,Los efectos nocivos del tabaquismo en la salud materna y fetal están claramente comprobados. Se desconocen los efectos específicos de la terapia con nicotina en el desarrollo fetal. Es improbable que la exposición breve durante el primer trimestre suponga un riesgo para el feto.,Agentes utilizados en estados de dependencia,,,nicotina
ácido nicotínico,B2,La hiperlipidemia fisiológica del embarazo no requiere tratamiento.,Sistema cardiovascular,Agentes hipolipidémicos,,acido nicotinico
ácido nicotínico,B2,,Sistema cardiovascular,Vasodilatadores,,acido nicotinico
ácido nicotínico,B2,, Vitaminas,,,acido nicotinico
alcohol nicotinílico,B1,,Sistema cardiovascular,Vasodilatadores,,alcohol nicotinilico
nifedipina,do,"Los bloqueadores de los canales de calcio pueden producir hipoxia fetal asociada a la hipotensión materna. Se ha observado edema pulmonar agudo cuando se han utilizado bloqueadores de los canales de calcio, entre ellos nifedipino (principalmente en formulación de liberación inmediata), como agente tocolítico durante el embarazo, especialmente en casos de embarazo múltiple (gemelos o más), por vía intravenosa o con el uso concomitante de agonistas beta-2.",Sistema cardiovascular,Antihipertensivos,bloqueadores de los canales de calcio,nifedipina
nilotinib,D, Este medicamento es embriotóxico y embrioletal en animales preñados.,Agentes antineoplásicos,Inhibidores de la tirosina quinasa,,nilotinib
nimodipina,do, Los bloqueadores de los canales de calcio tienen el potencial de producir hipoxia fetal asociada con hipotensión materna.,Sistema cardiovascular,Antihipertensivos,bloqueadores de los canales de calcio,nimodipina
esilato de nintedanib,D,La angiogénesis desempeña un papel fundamental en el desarrollo embriofetal. Es teratogénica en animales gestantes. Los inhibidores del receptor VEGF inhiben la angiogénesis y pueden causar daño fetal cuando se administran a mujeres gestantes.,Agentes antineoplásicos,Inhibidores de la tirosina quinasa,,esilato de nintedanib
niraparib,D,"Según su mecanismo de acción, niraparib podría causar daño embrionario o fetal, incluidos efectos embrioletales y teratogénicos.",Agentes antineoplásicos,,,niraparib
nirmatrelvir,B3,,Antimicrobianos,agentes antivirales,,nirmatrelvir
nirsevimab,B2,,Antimicrobianos,agentes antivirales,,nirsevimab
nisoldipina,do, Los bloqueadores de los canales de calcio tienen el potencial de producir hipoxia fetal asociada con hipotensión materna.,Sistema cardiovascular,Antihipertensivos,bloqueadores de los canales de calcio,nisoldipina
nitisinona,B3,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,,nitisinona
nitrazepam,do,"Las benzodiazepinas pueden causar hipotonía, depresión respiratoria e hipotermia en el recién nacido si se administran en dosis altas durante el parto. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de esta clase de fármacos.",Sistema nervioso central,Benzodiazepinas,,nitrazepam
óxido nítrico,B2,,Sistema cardiovascular,Vasodilatadores,,oxido nitrico
nitrofurantoína (terapia a corto plazo),A,Se debe tener precaución al administrar nitrofurantoína a término debido a la posibilidad de producir anemia hemolítica en pacientes con deficiencia de glucosa-6-fosfato deshidrogenasa (G6PD) y debido a sistemas enzimáticos inmaduros en el período neonatal temprano.,Antimicrobianos,Antibióticos,,nitrofurantoina (terapia a corto plazo)
óxido nitroso,A,"Todos los anestésicos generales pueden producir depresión del sistema nervioso central y respiratoria en el recién nacido. En la práctica habitual, esto no parece ser un problema. Sin embargo, en el feto con problemas de salud, se debe considerar cuidadosamente esta posible depresión y la selección de fármacos, dosis y técnicas anestésicas específicas.",Medicamentos utilizados en anestesia,Anestésicos generales,,oxido nitroso
nivolumab,D,"PD-1/PD-L1 interviene en la tolerancia fetomaterna. Su administración durante el embarazo puede causar daño fetal, incluyendo aborto o muerte fetal.",Agentes antineoplásicos,anticuerpos monoclonales,,nivolumab
nizatidina,B3,,Sistema alimentario,"Hiperacidez, reflujo, úlceras",,nizatidina
nomegestrol con estradiol,B3,,Agentes anticonceptivos,,,nomegestrol con estradiol
nonacog alfa (rch),B2,,Sistema cardiovascular,Agentes hemostáticos,,nonacog alfa (rch)
nonacog gamma (rch),B2,,Sistema cardiovascular,Agentes hemostáticos,,nonacog gamma (rch)
nonoxinol 9,A,,Agentes anticonceptivos,espermicidas vaginales,,nonoxinol 9
norelgestromina con etinilestradiol,B3,,Agentes anticonceptivos,,,norelgestromina con etinilestradiol
noretisterona,D,"Si la madre los toma a las 8 semanas o más después de la concepción, estos medicamentos pueden causar virilización del feto. Este efecto depende de la dosis. Antes de las 8 semanas posteriores a la concepción, no tienen efectos virilizantes.",Sistema endocrino,Progestágenos (ver también anticonceptivos orales),,noretisterona
norfloxacina,B3,,Antimicrobianos,Antibióticos,Quinolonas,norfloxacina
nortriptilina,do,Se han reportado síntomas de abstinencia en recién nacidos con el uso materno prolongado de antidepresivos tricíclicos.,Sistema nervioso central,antidepresivos,antidepresivos tricíclicos,nortriptilina
 nusinersen,B1,,Sistema musculoesquelético,,, nusinersen
nistatina,A,,Antimicrobianos,Agentes antimicóticos (ver también antimicóticos tópicos),,nistatina
nistatina,A,,Sistema genitourinario,Medicación vaginal tópica,,nistatina
ácido obeticólico,B1,,Sistema alimentario,,,acido obeticolico
obinutuzumab,do,Se sabe que los anticuerpos IgG atraviesan la barrera placentaria. Este fármaco puede afectar la supervivencia embriofetal debido a su acción farmacológica.,Agentes antineoplásicos,anticuerpos monoclonales,,obinutuzumab
 ocrelizumab, do,Se sabe que los anticuerpos IgG atraviesan la barrera placentaria. Este fármaco tiene el potencial de afectar la supervivencia embriofetal debido a su acción farmacológica.,Alergia y sistema inmunológico,Inmunomodificadores,, ocrelizumab
ocriplasmina,B2,,Medicamentos oftálmicos,,,ocriplasmina
octocog alfa (factor VIII - rch),B2,,Sistema cardiovascular,Agentes hemostáticos,,octocog alfa (factor VIII - rch)
octoxinol,A,,Agentes anticonceptivos,espermicidas vaginales,,octoxinol
octreótido,do,"Este medicamento puede causar retraso en el crecimiento fetal, probablemente debido a la supresión de la hormona del crecimiento.",Sistema endocrino,hormonas pituitarias,,octreotido
estrona,B1,,Sistema endocrino,Estrógenos (ver también anticonceptivos orales),,estrona
ofatumumab (rmc),do,Se sabe que los anticuerpos IgG atraviesan la barrera placentaria. Este fármaco tiene el potencial de afectar la supervivencia embriofetal debido a su acción farmacológica.,Agentes antineoplásicos,anticuerpos monoclonales,,ofatumumab (rmc)
ofloxacina,B3,,Antimicrobianos,Antibióticos,Quinolonas,ofloxacina
olanzapina,do,"Los neonatos expuestos a antipsicóticos durante el tercer trimestre del embarazo corren el riesgo de experimentar trastornos neurológicos extrapiramidales o síntomas de abstinencia tras el parto. Se han notificado casos de agitación, hipertonía, hipotonía, temblor, somnolencia, dificultad respiratoria y trastornos de la alimentación en estos neonatos.",Sistema nervioso central,fármacos antipsicóticos,,olanzapina
olaparib,D,"Medicamentos que han causado, se sospecha que han causado o se espera que causen un aumento en la incidencia de malformaciones fetales o daños irreversibles en humanos. Estos medicamentos también pueden tener efectos farmacológicos adversos. Para más información, consulte los textos adjuntos.",Agentes antineoplásicos,,,olaparib
olipudasa alfa,D,"Se observó un aumento en la incidencia de malformaciones (exencefalia) al tratar con olipudasa alfa a ratones preñados (pero no a conejas). Se desconoce la relevancia de esta observación para humanos. No se recomienda el uso de olipudasa alfa durante el embarazo ni en mujeres en edad fértil que no utilicen métodos anticonceptivos eficaces, a menos que los posibles beneficios para la madre superen los posibles riesgos, incluidos los del feto.",Metabolismo,,,olipudasa alfa
olmesartán,D,"Cuando se usan durante el segundo y tercer trimestre del embarazo, los medicamentos que actúan directamente sobre el sistema renina-angiotensina pueden causar lesiones e incluso la muerte del feto en desarrollo. Si bien no se han relacionado efectos adversos fetales con el uso de ARA en el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante el primer trimestre. Las mujeres embarazadas que toman ARA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no usar ARA para el manejo de la hipertensión en mujeres con probabilidad de embarazo.",Sistema cardiovascular,Antihipertensivos,Antagonistas del receptor de angiotensina II e inhibidores de la renina,olmesartan
olodaterol (clorhidrato de olodaterol),B3,,Sistema respiratorio,Agentes inhalatorios,Relajantes del broncoespasmo,olodaterol (clorhidrato de olodaterol)
olodaterol/bromuro de tiotropio,B3,,Sistema respiratorio,Agentes inhalatorios,,olodaterol/bromuro de tiotropio
olopatadina,B1,,Medicamentos oftálmicos,,,olopatadina
olsalazina,do,"Los antiinflamatorios no esteroideos inhiben la síntesis de prostaglandinas y, al administrarse durante la última etapa del embarazo, pueden causar el cierre del conducto arterioso fetal, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con antiinflamatorios no esteroideos durante el último trimestre del embarazo solo debe administrarse bajo indicación médica. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema alimentario,Antidiarreicos,,olsalazina
omalizumab,B1,,Sistema respiratorio,,,omalizumab
ésteres etílicos de ácidos omega-3 90,B1,,Sistema cardiovascular,Agentes hipolipidémicos,,esteres etilicos de acidos omega-3 90
omeprazol,B3,,Sistema alimentario,"Hiperacidez, reflujo, úlceras",,omeprazol
onasemnogene abeparvovec,B2,,Sistema musculoesquelético,,,onasemnogene abeparvovec
ondansetrón,B1,,Sistema nervioso central,"Antieméticos, antinauseosos",,ondansetron
opicapona,B2,,Sistema nervioso central,Agentes antiparkinsonianos,,opicapona
alcaloides del opio y derivados,A,,Sistema respiratorio,Antitusivos,,alcaloides del opio y derivados
anticonceptivos orales combinados,B3,La evidencia acumulada indica que la exposición inadvertida a estos agentes durante el embarazo temprano no se ha asociado con un mayor riesgo de defectos de nacimiento.,Agentes anticonceptivos,Anticonceptivos orales,,anticonceptivos orales combinados
orciprenalina,A,,Sistema cardiovascular,estimulantes adrenérgicos,,orciprenalina
 orciprenalina,A,,Sistema respiratorio,Agentes inhalatorios,Relajantes del broncoespasmo, orciprenalina
orlistat,B1,No se recomienda la reducción de peso con medicamentos supresores del apetito durante el embarazo.,Metabolismo,Agentes anoréxicos y reductores de peso,,orlistat
ornipresina,B3,,Sistema cardiovascular,Agentes hemostáticos,,ornipresina
orfenadrina,B2,,Sistema musculoesquelético,relajantes musculares,,orfenadrina
oseltamivir,B1,,Antimicrobianos,agentes antivirales,,oseltamivir
osilodrostat,D," Altas dosis de osilodrostat administradas a ratas preñadas durante la organogénesis aumentaron las muertes embrionarias y fetales, disminuyeron el peso fetal y las malformaciones.",Sistema endocrino,Corticosteroides,,osilodrostat
osimertinib,D,Este fármaco inhibe el EGFR. El EGFR desempeña un papel importante en el desarrollo embriofetal.,Agentes antineoplásicos,Inhibidores de la tirosina quinasa,,osimertinib
oxaliplatino,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,,,oxaliplatino
oxandrolona,D,Los esteroides anabólicos y otras sustancias con efectos androgénicos pueden tener un efecto virilizante en el feto femenino y deben evitarse durante el embarazo.,Sistema endocrino,Andrógenos y esteroides anabólicos,,oxandrolona
oxazepam,do,"Las benzodiazepinas pueden causar hipotonía, depresión respiratoria e hipotermia en el recién nacido si se administran en dosis altas durante el parto. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de esta clase de fármacos.",Sistema nervioso central,Benzodiazepinas,,oxazepam
